Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
92099104,2023.05.17 15:59:29,sell,1.4,eurusd.i,1.08241,1.08291,1.08091,2023.05.17 16:01:22,1.08293,-4.2,0,0,-72.8
92100118,2023.05.17 16:02:51,buy,1.4,eurusd.i,1.08306,1.08254,1.08454,2023.05.17 16:13:17,1.08348,-4.2,0,0,58.8
92107094,2023.05.17 16:35:25,sell,0.7,eurusd.i,1.08251,1.08302,1.07946,2023.05.17 17:03:35,1.08129,-2.1,0,0,85.4
92114981,2023.05.17 16:35:25,sell,0.7,eurusd.i,1.08251,1.08251,1.07946,2023.05.17 17:10:06,1.08152,-2.1,0,0,69.3
92171917,2023.05.18 08:54:18,buy,1.42,eurusd.i,1.08282,1.08231,1.08431,2023.05.18 10:17:00,1.08226,-4.26,0,0,-79.52
92179670,2023.05.18 10:19:49,sell,1.41,eurusd.i,1.08216,1.08267,1.08067,2023.05.18 10:58:29,1.08152,-4.23,0,0,90.24
92184617,2023.05.18 11:01:12,sell,1.42,eurusd.i,1.08141,1.08192,1.07992,2023.05.18 11:02:20,1.08151,-4.26,0,0,-14.2
92184783,2023.05.18 11:02:25,buy,1.42,eurusd.i,1.08151,1.08101,1.08301,2023.05.18 11:10:44,1.08182,-4.26,0,0,44.02
92189698,2023.05.18 11:58:59,buy,1.18,eurusd.i,1.08168,1.08108,1.08318,2023.05.18 11:59:56,1.08158,-3.54,0,0,-11.8
92190427,2023.05.18 12:06:13,buy,1.18,eurusd.i,1.08168,1.08108,1.08378,2023.05.18 12:18:48,1.08106,-3.54,0,0,-73.16
92191265,2023.05.18 12:19:23,buy,1.41,eurusd.i,1.0811,1.08059,1.08259,2023.05.18 12:47:04,1.08163,-4.23,0,0,74.73
92212110,2023.05.18 15:51:22,sell,1.42,eurusd.i,1.07856,1.07906,1.07706,2023.05.18 15:54:16,1.07907,-4.26,0,0,-72.42
92213128,2023.05.18 15:55:51,sell,1.41,eurusd.i,1.07882,1.07932,1.07732,2023.05.18 16:09:19,1.07934,-4.23,0,0,-73.32
92217556,2023.05.18 16:16:29,buy,1.4,eurusd.i,1.07903,1.07852,1.08052,2023.05.18 16:32:10,1.0785,-4.2,0,0,-74.2
92225828,2023.05.18 16:51:32,sell,1.39,eurusd.i,1.07782,1.07832,1.07632,2023.05.18 17:02:03,1.07833,-4.17,0,0,-70.89
92228375,2023.05.18 17:03:11,sell,1.39,eurusd.i,1.07797,1.07847,1.07647,2023.05.18 17:27:08,1.07857,-4.17,0,0,-83.4
92233346,2023.05.18 17:28:33,buy,1.38,eurusd.i,1.07849,1.07798,1.07998,2023.05.18 17:37:50,1.0781,-4.14,0,0,-53.82
92244105,2023.05.18 18:38:15,sell,2.29,eurusd.i,1.07708,1.07738,1.07618,2023.05.18 18:39:08,1.07745,-6.87,0,0,-84.73
92276266,2023.05.19 05:36:04,buy,0.01,eurusd.i,1.07643,1.07553,1.07733,2023.05.19 05:57:30,1.0773,-0.03,0,0,0.87
92281766,2023.05.19 08:08:22,buy,0.4,eurusd.i,1.07644,1.07594,1.07794,2023.05.19 09:12:20,1.07796,-1.2,0,0,60.8
92297543,2023.05.19 11:33:33,buy,0.4,eurusd.i,1.07868,1.07818,1.08018,2023.05.19 12:36:25,1.08006,-1.2,0,0,55.2
92323264,2023.05.19 16:14:33,sell,0.4,eurusd.i,1.07968,1.07968,1.07821,2023.05.19 17:54:07,1.07878,-1.2,0,0,36
92415932,2023.05.22 11:48:01,sell,0.4,eurusd.i,1.08106,1.08156,1.07956,2023.05.22 12:06:02,1.08137,-1.2,0,0,-12.4
92453114,2023.05.22 16:48:34,sell,0.4,eurusd.i,1.08158,1.08208,1.08008,2023.05.22 17:08:09,1.08179,-1.2,0,0,-8.4
92458770,2023.05.22 17:08:13,buy,0.4,eurusd.i,1.08177,1.08124,1.08324,2023.05.22 17:11:42,1.08124,-1.2,0,0,-21.2
92462040,2023.05.22 17:14:51,sell,0.13,eurusd.i,1.08107,1.08258,1.07958,2023.05.22 17:15:05,1.08116,-0.39,0,0,-1.17
92462315,2023.05.22 17:15:09,sell,0.4,eurusd.i,1.08117,1.08165,1.07965,2023.05.22 18:19:05,1.07966,-1.2,0,0,60.4
92796616,2023.05.25 10:30:28,buy,0.4,eurusd.i,1.07252,1.07201,1.07401,2023.05.25 10:37:38,1.07201,-1.2,0,0,-20.4
92968736,2023.05.26 16:22:30,sell,0.4,eurusd.i,1.07291,1.07341,1.07141,2023.05.26 16:37:48,1.07287,-1.2,0,0,1.6
92968747,2023.05.26 16:22:30,sell,0.4,eurusd.i,1.07291,1.07341,1.07141,2023.05.26 16:37:56,1.07283,-1.2,0,0,3.2
92972769,2023.05.26 16:38:06,buy,0.4,eurusd.i,1.07287,1.07236,1.07436,2023.05.26 16:50:34,1.07236,-1.2,0,0,-20.4
93045682,2023.05.29 10:16:23,sell,0.4,eurusd.i,1.07344,1.07394,1.07194,2023.05.29 11:06:22,1.07194,-1.2,0,0,60
93064220,2023.05.29 14:57:49,buy,0.4,eurusd.i,1.07142,1.07092,1.07292,2023.05.29 16:18:57,1.07084,-1.2,0,0,-23.2
93390275,2023.06.01 06:29:48,buy,0.4,eurusd.i,1.06902,1.06852,1.07052,2023.06.01 07:01:42,1.06853,-1.2,0,0,-19.6
94261338,2023.06.12 10:34:18,buy,0.53,audcad.i,0.89994,0.89945,0.90145,2023.06.12 10:34:40,0.89986,-1.59,0,0,-3.18
94261450,2023.06.12 10:35:44,buy,0.03,eurusd.i,1.07515,1.07515,1.0785,2023.06.12 11:03:19,1.0774,-0.09,0,0,6.75
94265193,2023.06.12 10:35:44,buy,0.1,eurusd.i,1.07515,1.07515,1.0785,2023.06.12 11:16:36,1.0776,-0.3,0,0,24.5
94368139,2023.06.13 08:58:48,sell,0.4,eurusd.i,1.07848,1.079,1.077,2023.06.13 09:00:42,1.07901,-1.2,0,0,-21.2
94498239,2023.06.14 07:49:37,buy,0.4,eurusd.i,1.07914,1.07864,1.08064,2023.06.14 08:23:47,1.07861,-1.2,0,0,-21.2
94507523,2023.06.14 10:05:25,buy,0.4,eurusd.i,1.07901,1.0795,1.0822,2023.06.14 12:37:49,1.08055,-1.2,0,0,61.6
94673209,2023.06.15 16:10:19,buy,0.2,eurusd.i,1.08671,1.08671,1.08902,2023.06.15 16:19:53,1.08883,-0.6,0,0,42.4
94674881,2023.06.15 16:10:19,buy,0.2,eurusd.i,1.08671,1.08728,1.09037,2023.06.15 16:21:35,1.08894,-0.6,0,0,944.6
